date,consumer price index
April 2022,149.8
March 2022,148.9
February 2022,146.8
January 2022,145.3
December 2021,144.0
November 2021,144.2
October 2021,143.9
September 2021,142.9
August 2021,142.6
July 2021,142.3
June 2021,141.4
May 2021,141.0
April 2021,140.3
March 2021,139.6
February 2021,138.9
January 2021,138.2
December 2020,137.4
November 2020,137.7
October 2020,137.5
September 2020,136.9
August 2020,137.0
July 2020,137.2
June 2020,137.2
May 2020,136.1
April 2020,135.7
March 2020,136.6
February 2020,137.4
January 2020,136.8
December 2019,136.4
November 2019,136.4
October 2019,136.6
September 2019,136.2
August 2019,136.8
July 2019,137.0
June 2019,136.3
May 2019,136.6
April 2019,136.0
March 2019,135.4
February 2019,134.5
January 2019,133.6
December 2018,133.4
November 2018,133.5
October 2018,134.1
September 2018,133.7
August 2018,134.2
July 2018,134.3
June 2018,133.6
May 2018,133.4
April 2018,133.3
March 2018,132.9
February 2018,132.5
January 2018,131.7
December 2017,130.8
November 2017,131.3
October 2017,130.9
September 2017,130.8
August 2017,130.5
July 2017,130.4
June 2017,130.4
May 2017,130.5
April 2017,130.4
March 2017,129.9
February 2017,129.7
January 2017,129.5
December 2016,128.4
November 2016,128.6
October 2016,129.1
September 2016,128.8
August 2016,128.7
July 2016,128.9
June 2016,129.1
May 2016,128.8
April 2016,128.3
March 2016,127.9
February 2016,127.1
January 2016,126.8
December 2015,126.5
November 2015,127.1
October 2015,127.2
September 2015,127.1
August 2015,127.3
July 2015,127.3
June 2015,127.2
May 2015,126.9
April 2015,126.2
March 2015,126.3
February 2015,125.4
January 2015,124.3
December 2014,124.5
November 2014,125.4
October 2014,125.9
September 2014,125.8
August 2014,125.7
July 2014,125.7
June 2014,125.9
May 2014,125.8
April 2014,125.2
March 2014,124.8
February 2014,124.1
January 2014,123.1
December 2013,122.7
November 2013,123.0
October 2013,123.0
September 2013,123.3
August 2013,123.1
July 2013,123.1
June 2013,123.0
May 2013,123.0
April 2013,122.7
March 2013,122.9
February 2013,122.7
January 2013,121.3
December 2012,121.2
November 2012,121.9
October 2012,122.2
September 2012,122.0
August 2012,121.8
July 2012,121.5
June 2012,121.6
May 2012,122.1
April 2012,122.2
March 2012,121.7
February 2012,121.2
January 2012,120.7
December 2011,120.2
November 2011,120.9
October 2011,120.8
September 2011,120.6
August 2011,120.3
July 2011,120.0
June 2011,119.8
May 2011,120.6
April 2011,119.8
March 2011,119.4
February 2011,118.1
January 2011,117.8
December 2010,117.5
November 2010,117.5
October 2010,117.4
September 2010,116.9
August 2010,116.7
July 2010,116.8
June 2010,116.2
May 2010,116.3
April 2010,116.0
March 2010,115.6
February 2010,115.6
January 2010,115.1
December 2009,114.8
November 2009,115.2
October 2009,114.6
September 2009,114.7
August 2009,114.7
July 2009,114.7
June 2009,115.1
May 2009,114.7
April 2009,113.9
March 2009,114.0
February 2009,113.8
January 2009,113.0
December 2008,113.3
November 2008,114.1
October 2008,114.5
September 2008,115.7
August 2008,115.6
July 2008,115.8
June 2008,115.4
May 2008,114.6
April 2008,113.5
March 2008,112.6
February 2008,112.2
January 2008,111.8
December 2007,112.0
November 2007,111.9
October 2007,111.6
September 2007,111.9
August 2007,111.7
July 2007,112.0
June 2007,111.9
May 2007,112.1
April 2007,111.6
March 2007,111.1
February 2007,110.2
January 2007,109.4
December 2006,109.4
November 2006,109.2
October 2006,109.0
September 2006,109.2
August 2006,109.8
July 2006,109.6
June 2006,109.5
May 2006,109.7
April 2006,109.2
March 2006,108.6
February 2006,108.0
January 2006,108.2
December 2005,107.6
November 2005,107.7
October 2005,107.9
September 2005,108.4
August 2005,107.5
July 2005,107.1
June 2005,106.9
May 2005,106.7
April 2005,106.6
March 2005,106.3
February 2005,105.7
January 2005,105.3
December 2004,105.4
November 2004,105.6
October 2004,105.2
September 2004,105.0
August 2004,104.8
July 2004,105.0
June 2004,105.1
May 2004,105.0
April 2004,104.1
March 2004,103.9
February 2004,103.5
January 2004,103.3
December 2003,103.2
November 2003,103.1
October 2003,102.8
September 2003,103.1
August 2003,102.9
July 2003,102.6
June 2003,102.5
May 2003,102.5
April 2003,102.4
March 2003,103.1
February 2003,102.8
January 2003,102.0
December 2002,101.1
November 2002,101.5
October 2002,101.2
September 2002,100.9
August 2002,100.9
July 2002,100.5
June 2002,99.9
May 2002,99.7
April 2002,99.5
March 2002,98.9
February 2002,98.2
January 2002,97.6
December 2001,97.4
November 2001,97.2
October 2001,98.1
September 2001,98.6
August 2001,98.4
July 2001,98.4
June 2001,98.7
May 2001,98.6
April 2001,97.8
March 2001,97.1
February 2001,96.8
January 2001,96.3
December 2000,96.7
November 2000,96.6
October 2000,96.3
September 2000,96.1
August 2000,95.7
July 2000,95.8
June 2000,95.5
May 2000,94.9
April 2000,94.5
March 2000,94.8
February 2000,94.1
January 2000,93.5
December 1999,93.7
November 1999,93.6
October 1999,93.7
September 1999,93.6
August 1999,93.3
July 1999,93.1
June 1999,92.9
May 1999,92.7
April 1999,92.5
March 1999,92.0
February 1999,91.6
January 1999,91.5
December 1998,91.3
November 1998,91.6
October 1998,91.6
September 1998,91.2
August 1998,91.4
July 1998,91.4
June 1998,91.4
May 1998,91.3
April 1998,91.0
March 1998,91.1
February 1998,91.0
January 1998,90.9
December 1997,90.4
November 1997,90.5
October 1997,90.6
September 1997,90.6
August 1997,90.6
July 1997,90.5
June 1997,90.5
May 1997,90.3
April 1997,90.2
March 1997,90.2
February 1997,90.1
January 1997,89.9
December 1996,89.7
November 1996,89.7
October 1996,89.3
September 1996,89.1
August 1996,89.0
July 1996,89.0
June 1996,89.0
May 1996,89.0
April 1996,88.7
March 1996,88.5
February 1996,88.1
January 1996,88.0
December 1995,87.8
November 1995,88.0
October 1995,87.7
September 1995,87.8
August 1995,87.7
July 1995,87.9
June 1995,87.7
May 1995,87.7
