,date,product,unit,value,decimals,consumer price index,value_norm
0,1995-10-01,"Round steak, 1 kilogram",Dollars,9.92,2,87.7,0.11311288483466363
1,1995-10-01,"Sirloin steak, 1 kilogram",Dollars,11.48,2,87.7,0.13090079817559863
2,1995-10-01,"Prime rib roast, 1 kilogram",Dollars,11.82,2,87.7,0.1347776510832383
3,1995-10-01,"Blade roast, 1 kilogram",Dollars,6.75,2,87.7,0.07696693272519954
4,1995-10-01,"Stewing beef, 1 kilogram",Dollars,7.05,2,87.7,0.08038768529076397
5,1995-10-01,"Ground beef, 1 kilogram",Dollars,3.82,2,87.7,0.043557582668186996
6,1995-10-01,"Pork chops, 1 kilogram",Dollars,8.93,2,87.7,0.10182440136830102
7,1995-10-01,"Chicken, 1 kilogram",Dollars,3.8,2,87.7,0.04332953249714937
8,1995-10-01,"Bacon, 500 grams",Dollars,3.05,2,87.7,0.03477765108323831
9,1995-10-01,"Wieners, 450 grams",Dollars,2.47,2,87.7,0.028164196123147092
10,1995-10-01,"Canned salmon, 213 grams",Dollars,3.69,2,87.7,0.04207525655644242
11,1995-10-01,"Butter, 454 grams",Dollars,2.85,2,87.7,0.03249714937286203
12,1995-10-01,"Processed cheese slices, 250 grams",Dollars,2.54,2,87.7,0.02896237172177879
13,1995-10-01,"Evaporated milk, 385 millilitres",Dollars,1.02,2,87.7,0.011630558722919042
14,1995-10-01,"Eggs, 1 dozen",Dollars,1.63,2,87.7,0.018586088939566703
15,1995-10-01,"Bread, 675 grams",Dollars,1.29,2,87.7,0.014709236031927024
16,1995-10-01,"Soda crackers, 450 grams",Dollars,1.93,2,87.7,0.022006841505131127
17,1995-10-01,"Macaroni, 500 grams",Dollars,0.97,2,87.7,0.01106043329532497
18,1995-10-01,"Flour, 2.5 kilograms",Dollars,3.37,2,87.7,0.03842645381984036
19,1995-10-01,"Corn flakes, 675 grams",Dollars,3.08,2,87.7,0.03511972633979475
20,1995-10-01,"Apples, 1 kilogram",Dollars,2.12,2,87.7,0.0241733181299886
21,1995-10-01,"Bananas, 1 kilogram",Dollars,1.28,2,87.7,0.01459521094640821
22,1995-10-01,"Oranges, 1 kilogram",Dollars,2.31,2,87.7,0.026339794754846067
23,1995-10-01,"Apple juice, 1.36 litres",Dollars,1.47,2,87.7,0.016761687571265678
24,1995-10-01,"Orange juice, 1 litre",Dollars,1.68,2,87.7,0.019156214367160775
25,1995-10-01,"Carrots, 1 kilogram",Dollars,0.93,2,87.7,0.010604332953249715
26,1995-10-01,"Mushrooms, 1 kilogram",Dollars,5.72,2,87.7,0.06522234891676168
27,1995-10-01,"Onions, 1 kilogram",Dollars,0.92,2,87.7,0.0104903078677309
28,1995-10-01,"Potatoes, 4.54 kilograms",Dollars,2.36,2,87.7,0.026909920182440133
29,1995-10-01,"French fried potatoes, frozen, 1 kilogram",Dollars,1.67,2,87.7,0.01904218928164196
30,1995-10-01,"Baked beans, canned, 398 millilitres",Dollars,0.78,2,87.7,0.008893956670467502
31,1995-10-01,"Tomatoes, canned, 796 millilitres",Dollars,1.24,2,87.7,0.014139110604332953
32,1995-10-01,"Tomato juice, 1.36 litres",Dollars,1.44,2,87.7,0.016419612314709234
33,1995-10-01,"Ketchup, 1 litre",Dollars,2.27,2,87.7,0.02588369441277081
34,1995-10-01,"Sugar, white, 2 kilograms",Dollars,1.96,2,87.7,0.02234891676168757
35,1995-10-01,"Coffee, roasted, 300 grams",Dollars,3.8,2,87.7,0.04332953249714937
36,1995-10-01,"Coffee, instant, 200 grams",Dollars,6.67,2,87.7,0.07605473204104903
37,1995-10-01,Tea (72 bags),Dollars,2.65,2,87.7,0.030216647662485746
38,1995-10-01,"Cooking or salad oil, 1 litre",Dollars,3.08,2,87.7,0.03511972633979475
39,1995-10-01,"Soup, canned, 284 millilitres",Dollars,0.74,2,87.7,0.008437856328392246
40,1995-10-01,"Baby food, 128 millilitres",Dollars,0.52,2,87.7,0.005929304446978335
41,1995-10-01,"Peanut butter, 500 grams",Dollars,2.59,2,87.7,0.02953249714937286
42,1995-10-01,Paper towels (2 rolls),Dollars,1.59,2,87.7,0.01812998859749145
43,1995-10-01,Facial tissue (200 tissues),Dollars,1.46,2,87.7,0.016647662485746863
44,1995-10-01,Bathroom tissue (4 rolls),Dollars,1.95,2,87.7,0.022234891676168756
45,1995-10-01,"Shampoo, 300 millilitres",Dollars,2.95,2,87.7,0.033637400228050174
46,1995-10-01,"Deodorant, 60 grams",Dollars,2.77,2,87.7,0.03158494868871151
47,1995-10-01,"Toothpaste, 100 millilitres",Dollars,1.32,2,87.7,0.015051311288483466
48,1995-10-01,Cigarettes (200),Dollars,31.2,2,87.7,0.3557582668187001
49,1995-11-01,"Round steak, 1 kilogram",Dollars,9.49,2,88.0,0.1078409090909091
50,1995-11-01,"Sirloin steak, 1 kilogram",Dollars,11.11,2,88.0,0.12625
51,1995-11-01,"Prime rib roast, 1 kilogram",Dollars,12.02,2,88.0,0.1365909090909091
52,1995-11-01,"Blade roast, 1 kilogram",Dollars,6.62,2,88.0,0.07522727272727273
53,1995-11-01,"Stewing beef, 1 kilogram",Dollars,7.01,2,88.0,0.0796590909090909
54,1995-11-01,"Ground beef, 1 kilogram",Dollars,3.8,2,88.0,0.04318181818181818
55,1995-11-01,"Pork chops, 1 kilogram",Dollars,8.59,2,88.0,0.09761363636363636
56,1995-11-01,"Chicken, 1 kilogram",Dollars,3.75,2,88.0,0.04261363636363636
57,1995-11-01,"Bacon, 500 grams",Dollars,3.03,2,88.0,0.03443181818181818
58,1995-11-01,"Wieners, 450 grams",Dollars,2.48,2,88.0,0.028181818181818183
