,date,consumer price index
0,1995-10-01,87.7
49,1995-11-01,88.0
98,1995-12-01,87.8
147,1996-01-01,88.0
196,1996-02-01,88.1
245,1996-03-01,88.5
294,1996-04-01,88.7
343,1996-05-01,89.0
392,1996-06-01,89.0
441,1996-07-01,89.0
490,1996-08-01,89.0
539,1996-09-01,89.1
588,1996-10-01,89.3
637,1996-11-01,89.7
686,1996-12-01,89.7
735,1997-01-01,89.9
784,1997-02-01,90.1
833,1997-03-01,90.2
882,1997-04-01,90.2
931,1997-05-01,90.3
980,1997-06-01,90.5
1029,1997-07-01,90.5
1078,1997-08-01,90.6
1127,1997-09-01,90.6
1176,1997-10-01,90.6
1225,1997-11-01,90.5
1274,1997-12-01,90.4
1323,1998-01-01,90.9
1372,1998-02-01,91.0
1421,1998-03-01,91.1
1470,1998-04-01,91.0
1519,1998-05-01,91.3
1568,1998-06-01,91.4
1617,1998-07-01,91.4
1666,1998-08-01,91.4
1715,1998-09-01,91.2
1764,1998-10-01,91.6
1813,1998-11-01,91.6
1862,1998-12-01,91.3
1911,1999-01-01,91.5
1960,1999-02-01,91.6
2009,1999-03-01,92.0
2058,1999-04-01,92.5
2107,1999-05-01,92.7
2156,1999-06-01,92.9
2205,1999-07-01,93.1
2254,1999-08-01,93.3
2303,1999-09-01,93.6
2352,1999-10-01,93.7
2401,1999-11-01,93.6
2450,1999-12-01,93.7
2499,2000-01-01,93.5
2548,2000-02-01,94.1
2597,2000-03-01,94.8
2646,2000-04-01,94.5
2695,2000-05-01,94.9
2744,2000-06-01,95.5
2793,2000-07-01,95.8
2842,2000-08-01,95.7
2891,2000-09-01,96.1
2940,2000-10-01,96.3
2989,2000-11-01,96.6
3038,2000-12-01,96.7
3087,2001-01-01,96.3
3136,2001-02-01,96.8
3185,2001-03-01,97.1
3234,2001-04-01,97.8
3283,2001-05-01,98.6
3332,2001-06-01,98.7
3381,2001-07-01,98.4
3430,2001-08-01,98.4
3479,2001-09-01,98.6
3528,2001-10-01,98.1
3577,2001-11-01,97.2
3626,2001-12-01,97.4
3675,2002-01-01,97.6
3724,2002-02-01,98.2
3773,2002-03-01,98.9
3822,2002-04-01,99.5
3871,2002-05-01,99.7
3920,2002-06-01,99.9
3969,2002-07-01,100.5
4018,2002-08-01,100.9
4067,2002-09-01,100.9
4116,2002-10-01,101.2
4165,2002-11-01,101.5
4214,2002-12-01,101.1
4263,2003-01-01,102.0
4312,2003-02-01,102.8
4361,2003-03-01,103.1
4410,2003-04-01,102.4
4459,2003-05-01,102.5
4508,2003-06-01,102.5
4557,2003-07-01,102.6
4606,2003-08-01,102.9
4655,2003-09-01,103.1
4704,2003-10-01,102.8
4753,2003-11-01,103.1
4802,2003-12-01,103.2
4851,2004-01-01,103.3
4900,2004-02-01,103.5
4949,2004-03-01,103.9
4998,2004-04-01,104.1
5047,2004-05-01,105.0
5096,2004-06-01,105.1
5145,2004-07-01,105.0
5194,2004-08-01,104.8
5243,2004-09-01,105.0
5292,2004-10-01,105.2
5341,2004-11-01,105.6
5390,2004-12-01,105.4
5439,2005-01-01,105.3
5488,2005-02-01,105.7
5537,2005-03-01,106.3
5586,2005-04-01,106.6
5635,2005-05-01,106.7
5684,2005-06-01,106.9
5733,2005-07-01,107.1
5782,2005-08-01,107.5
5831,2005-09-01,108.4
5880,2005-10-01,107.9
5929,2005-11-01,107.7
5978,2005-12-01,107.6
6027,2006-01-01,108.2
6076,2006-02-01,108.0
6125,2006-03-01,108.6
6174,2006-04-01,109.2
6223,2006-05-01,109.7
6272,2006-06-01,109.5
6321,2006-07-01,109.6
6370,2006-08-01,109.8
6419,2006-09-01,109.2
6468,2006-10-01,109.0
6517,2006-11-01,109.2
6566,2006-12-01,109.4
6615,2007-01-01,109.4
6664,2007-02-01,110.2
6713,2007-03-01,111.1
6762,2007-04-01,111.6
6811,2007-05-01,112.1
6860,2007-06-01,111.9
6909,2007-07-01,112.0
6958,2007-08-01,111.7
7007,2007-09-01,111.9
7056,2007-10-01,111.6
7105,2007-11-01,111.9
7154,2007-12-01,112.0
7203,2008-01-01,111.8
7252,2008-02-01,112.2
7301,2008-03-01,112.6
7350,2008-04-01,113.5
7399,2008-05-01,114.6
7448,2008-06-01,115.4
7497,2008-07-01,115.8
7546,2008-08-01,115.6
7595,2008-09-01,115.7
7644,2008-10-01,114.5
7693,2008-11-01,114.1
7742,2008-12-01,113.3
7791,2009-01-01,113.0
7840,2009-02-01,113.8
7889,2009-03-01,114.0
7938,2009-04-01,113.9
7987,2009-05-01,114.7
8036,2009-06-01,115.1
8085,2009-07-01,114.7
8134,2009-08-01,114.7
8183,2009-09-01,114.7
8232,2009-10-01,114.6
8281,2009-11-01,115.2
8330,2009-12-01,114.8
8379,2010-01-01,115.1
8428,2010-02-01,115.6
8477,2010-03-01,115.6
8526,2010-04-01,116.0
8575,2010-05-01,116.3
8624,2010-06-01,116.2
8673,2010-07-01,116.8
8722,2010-08-01,116.7
8771,2010-09-01,116.9
8820,2010-10-01,117.4
8869,2010-11-01,117.5
8918,2010-12-01,117.5
8967,2011-01-01,117.8
9016,2011-02-01,118.1
9065,2011-03-01,119.4
9114,2011-04-01,119.8
9163,2011-05-01,120.6
9212,2011-06-01,119.8
9261,2011-07-01,120.0
9310,2011-08-01,120.3
9359,2011-09-01,120.6
9408,2011-10-01,120.8
9457,2011-11-01,120.9
9506,2011-12-01,120.2
9555,2012-01-01,120.7
9604,2012-02-01,121.2
9653,2012-03-01,121.7
9702,2012-04-01,122.2
9751,2012-05-01,122.1
9800,2012-06-01,121.6
9849,2012-07-01,121.5
9898,2012-08-01,121.8
9947,2012-09-01,122.0
9996,2012-10-01,122.2
10045,2012-11-01,121.9
10094,2012-12-01,121.2
10143,2013-01-01,121.3
10192,2013-02-01,122.7
10241,2013-03-01,122.9
10290,2013-04-01,122.7
10339,2013-05-01,123.0
10388,2013-06-01,123.0
10437,2013-07-01,123.1
10486,2013-08-01,123.1
10535,2013-09-01,123.3
10584,2013-10-01,123.0
10633,2013-11-01,123.0
10682,2013-12-01,122.7
10731,2014-01-01,123.1
10780,2014-02-01,124.1
10829,2014-03-01,124.8
10878,2014-04-01,125.2
10927,2014-05-01,125.8
10976,2014-06-01,125.9
11025,2014-07-01,125.7
11074,2014-08-01,125.7
11123,2014-09-01,125.8
11172,2014-10-01,125.9
11221,2014-11-01,125.4
11270,2014-12-01,124.5
11319,2015-01-01,124.3
11368,2015-02-01,125.4
11417,2015-03-01,126.3
11466,2015-04-01,126.2
11515,2015-05-01,126.9
11564,2015-06-01,127.2
11613,2015-07-01,127.3
11662,2015-08-01,127.3
11711,2015-09-01,127.1
11760,2015-10-01,127.2
11811,2015-11-01,127.1
11862,2015-12-01,126.5
11913,2016-01-01,126.8
11964,2016-02-01,127.1
12015,2016-03-01,127.9
12066,2016-04-01,128.3
12117,2016-05-01,128.8
12168,2016-06-01,129.1
12219,2016-07-01,128.9
12270,2016-08-01,128.7
12321,2016-09-01,128.8
12372,2016-10-01,129.1
12423,2016-11-01,128.6
12474,2016-12-01,128.4
12525,2017-01-01,129.5
12576,2017-02-01,129.7
12627,2017-03-01,129.9
12678,2017-04-01,130.4
12729,2017-05-01,130.5
12780,2017-06-01,130.4
12831,2017-07-01,130.4
12882,2017-08-01,130.5
12933,2017-09-01,130.8
12984,2017-10-01,130.9
13035,2017-11-01,131.3
13086,2017-12-01,130.8
13137,2018-01-01,131.7
13188,2018-02-01,132.5
13239,2018-03-01,132.9
13290,2018-04-01,133.3
13341,2018-05-01,133.4
13392,2018-06-01,133.6
13443,2018-07-01,134.3
13494,2018-08-01,134.2
13545,2018-09-01,133.7
13596,2018-10-01,134.1
13647,2018-11-01,133.5
13698,2018-12-01,133.4
13749,2019-01-01,133.6
13800,2019-02-01,134.5
13851,2019-03-01,135.4
13902,2019-04-01,136.0
13953,2019-05-01,136.6
14004,2019-06-01,136.3
14055,2019-07-01,137.0
14106,2019-08-01,136.8
14157,2019-09-01,136.2
14208,2019-10-01,136.6
14259,2019-11-01,136.4
14310,2019-12-01,136.4
14361,2020-01-01,136.8
14412,2020-02-01,137.4
14463,2020-03-01,136.6
14514,2020-04-01,135.7
14565,2020-05-01,136.1
14616,2020-06-01,137.2
14667,2020-07-01,137.2
14718,2020-08-01,137.0
14769,2020-09-01,136.9
14820,2020-10-01,137.5
14871,2020-11-01,137.7
14922,2020-12-01,137.4
14973,2021-01-01,138.2
15024,2021-02-01,138.9
15075,2021-03-01,139.6
15126,2021-04-01,140.3
15177,2021-05-01,141.0
15228,2021-06-01,141.4
15279,2021-07-01,142.3
15330,2021-08-01,142.6
15381,2021-09-01,142.9
15432,2021-10-01,143.9
15483,2021-11-01,144.2
15534,2021-12-01,144.0
15585,2022-01-01,145.3
15636,2022-02-01,146.8
